,0,1
273,[-5.51706866],0.9015474915504456
274,[-14.6208013],1.045210361480713
275,[2.52195233],1.1776304244995117
276,[5.53506862],1.287783145904541
277,[5.67341323],1.3373301029205322
278,[7.46176612],1.2964770793914795
279,[-7.83935527],1.1495556831359863
280,[-9.1496516],0.956294596195221
281,[-7.80168003],0.7868123650550842
282,[2.70675333],0.6850364208221436
283,[8.50107794],0.6306681036949158
284,[2.81852529],0.568615734577179
285,[-5.50040199],0.4747830629348755
286,[-18.58121796],0.3755047619342804
287,[-4.46971434],0.3490507900714874
288,[4.70090195],0.40407082438468933
289,[14.76799656],0.48728498816490173
290,[3.85801612],0.5067476034164429
291,[0.58814473],0.43609675765037537
292,[-0.84631827],0.2966102957725525
293,[3.6516533],0.1295199692249298
294,[2.26258667],-0.043759897351264954
295,[3.32191127],-0.2054181694984436
296,[2.32769196],-0.34639230370521545
297,[2.69834801],-0.45880722999572754
298,[-2.64288463],-0.5394623279571533
299,[-6.87179767],-0.569461464881897
300,[-7.83076472],-0.5214191675186157
301,[-4.25783677],-0.3799673020839691
302,[4.99509945],-0.16131341457366943
303,[-1.88393861],0.07272904366254807
304,[-7.9709016],0.2889057993888855
305,[-13.5470967],0.4920687675476074
306,[-10.12283],0.7123604416847229
307,[-0.03517206],0.9590277075767517
308,[5.65685863],1.1912480592727661
309,[11.04293134],1.3455567359924316
310,[-0.97913463],1.3582974672317505
311,[-1.53429767],1.2424089908599854
312,[-6.15451472],1.0419654846191406
313,[-4.47825344],0.8215748071670532
314,[6.66676612],0.6280407905578613
315,[4.33564473],0.4479162395000458
316,[-5.3359016],0.2662358283996582
317,[6.30373664],0.1104326993227005
318,[9.30008667],-0.032145123928785324
319,[8.17941127],-0.18957921862602234
320,[5.73852529],-0.37574654817581177
321,[9.45793134],-0.5803938508033752
322,[1.60086537],-0.7981162667274475
323,[1.20695233],-0.9914353489875793
324,[-2.80034805],-1.124931812286377
325,[-24.13200344],-1.1642699241638184
326,[-26.73448388],-1.020857810974121
327,[-16.64102194],-0.6363590359687805
328,[12.32326507],-0.04229952022433281
329,[6.72998664],0.5925242304801941
330,[7.47175333],1.123279094696045
331,[6.33941127],1.4584492444992065
332,[4.70310863],1.5677216053009033
